venta_id,cliente_id,producto_id,fecha_venta,cantidad,descuento
1,3783,352,2023-10-07,1,0
2,1731,335,2023-05-02,4,2
3,7878,305,2023-01-14,1,0
4,80,363,2023-02-07,3,0
5,1303,290,2023-06-09,2,5
6,3510,460,2023-05-19,1,0
7,6246,161,2023-02-07,1,0
8,3249,550,2023-05-17,1,2
9,6549,484,2023-09-30,3,0
10,4418,295,2023-12-20,4,0
11,6525,357,2023-12-19,1,5
12,3793,356,2023-06-14,5,5
13,3251,249,2023-11-16,2,2
14,5158,244,2023-12-28,3,0
15,6722,504,2023-06-04,1,20
16,1413,148,2023-08-07,1,15
17,2494,355,2023-10-10,4,15
18,6168,510,2023-08-02,4,2
19,1622,434,2023-11-09,5,0
20,3403,300,2023-10-18,1,0
21,907,583,2023-07-31,3,2
22,352,505,2023-08-02,1,5
23,9906,394,2023-01-31,2,10
24,544,379,2023-02-11,1,5
25,4254,539,2023-11-21,3,0
26,4508,518,2023-07-12,1,0
27,7764,517,2023-06-18,1,0
28,7980,576,2023-07-27,3,2
29,2034,257,2023-10-23,2,0
30,4671,414,2023-09-30,1,0
31,2265,528,2023-01-31,3,2
32,5796,533,2023-06-08,2,0
33,128,596,2023-01-05,1,10
34,1096,432,2023-12-28,1,0
35,9503,440,2023-10-13,2,0
36,3017,220,2023-04-24,1,0
37,3488,383,2023-03-24,1,0
38,8428,411,2023-06-27,1,15
39,757,128,2023-02-02,1,2
40,1695,165,2023-09-06,2,2
41,5536,330,2023-05-28,1,5
42,671,539,2023-04-09,5,10
43,9278,255,2023-07-23,1,10
44,4726,189,2023-08-16,4,5
45,4018,261,2023-09-17,3,5
46,8878,204,2023-08-21,2,2
47,7732,466,2023-05-11,1,0
48,9090,164,2023-08-29,1,0
49,5337,294,2023-04-10,2,5
50,1571,524,2023-01-31,2,0
51,1061,528,2023-07-10,5,0
52,615,446,2023-11-20,3,0
53,34,350,2023-09-22,1,15
54,1954,139,2023-04-20,1,0
55,1339,596,2023-02-07,2,0
