producto_id,nombre,categoria,precio
101,Prod 0001,Oficina,5410.00
102,Prod 0002,Smart Home,14160.00
103,Prod 0003,Audio,66010.00
104,Prod 0004,Oficina,32660.00
105,Prod 0005,Gaming,21780.00
106,Prod 0006,Accesorios,3220.00
107,Prod 0007,Gaming,99700.00
108,Prod 0008,Computación,30290.00
109,Prod 0009,Smart Home,102520.00
110,Prod 0010,Gaming,175490.00
111,Prod 0011,Audio,57050.00
112,Prod 0012,Redes,13530.00
113,Prod 0013,Accesorios,34760.00
114,Prod 0014,Redes,7210.00
115,Prod 0015,Computación,18010.00
116,Prod 0016,Redes,43510.00
117,Prod 0017,Gaming,161480.00
118,Prod 0018,Oficina,110170.00
119,Prod 0019,Computación,16710.00
120,Prod 0020,Smart Home,109960.00
121,Prod 0021,Redes,39580.00
122,Prod 0022,Oficina,5780.00
123,Prod 0023,Accesorios,18990.00
124,Prod 0024,Oficina,75770.00
125,Prod 0025,Oficina,16730.00
126,Prod 0026,Video,135000.00
127,Prod 0027,Redes,8960.00
128,Prod 0028,Redes,10590.00
129,Prod 0029,Smart Home,70300.00
130,Prod 0030,Oficina,34650.00
131,Prod 0031,Audio,30560.00
132,Prod 0032,Accesorios,2570.00
133,Prod 0033,Computación,37290.00
134,Prod 0034,Accesorios,14200.00
135,Prod 0035,Gaming,38530.00
136,Prod 0036,Gaming,200320.00
137,Prod 0037,Computación,36940.00
138,Prod 0038,Accesorios,30070.00
139,Prod 0039,Redes,10710.00
140,Prod 0040,Video,50520.00
141,Prod 0041,Video,17950.00
142,Prod 0042,Audio,10230.00
143,Prod 0043,Smart Home,82370.00
144,Prod 0044,Computación,520870.00
145,Prod 0045,Computación,54880.00
146,Prod 0046,Audio,27820.00
147,Prod 0047,Oficina,55220.00
148,Prod 0048,Oficina,8130.00
149,Prod 0049,Audio,81570.00
150,Prod 0050,Computación,146880.00
151,Prod 0051,Computación,59600.00
152,Prod 0052,Video,87270.00
153,Prod 0053,Gaming,140170.00
154,Prod 0054,Oficina,43640.00
155,Prod 0055,Smart Home,88850.00
156,Prod 0056,Redes,7460.00
157,Prod 0057,Computación,23320.00
158,Prod 0058,Gaming,306660.00
159,Prod 0059,Smart Home,181230.00
160,Prod 0060,Audio,27630.00
161,Prod 0061,Oficina,79520.00
162,Prod 0062,Smart Home,114790.00
163,Prod 0063,Accesorios,2480.00
164,Prod 0064,Audio,31170.00
165,Prod 0065,Gaming,111060.00
166,Prod 0066,Video,10830.00
167,Prod 0067,Redes,116550.00
168,Prod 0068,Smart Home,13890.00
169,Prod 0069,Accesorios,26800.00
170,Prod 0070,Oficina,6560.00
171,Prod 0071,Video,282500.00
172,Prod 0072,Audio,6520.00
173,Prod 0073,Video,482660.00
174,Prod 0074,Audio,10970.00
175,Prod 0075,Computación,688800.00
176,Prod 0076,Accesorios,15590.00
177,Prod 0077,Computación,783870.00
178,Prod 0078,Redes,24030.00
179,Prod 0079,Video,16410.00
180,Prod 0080,Accesorios,1850.00
181,Prod 0081,Gaming,107730.00
182,Prod 0082,Accesorios,10360.00
183,Prod 0083,Gaming,24510.00
184,Prod 0084,Gaming,38510.00
185,Prod 0085,Gaming,234200.00
186,Prod 0086,Oficina,25620.00
187,Prod 0087,Smart Home,62650.00
188,Prod 0088,Accesorios,8810.00
189,Prod 0089,Video,27040.00
190,Prod 0090,Video,272800.00
191,Prod 0091,Accesorios,2040.00
192,Prod 0092,Computación,53140.00
193,Prod 0093,Computación,85310.00
194,Prod 0094,Gaming,137420.00
195,Prod 0095,Oficina,6060.00
196,Prod 0096,Redes,88090.00
197,Prod 0097,Oficina,11020.00
198,Prod 0098,Accesorios,8730.00
199,Prod 0099,Audio,19930.00
200,Prod 0100,Smart Home,30390.00
201,Prod 0101,Oficina,20440.00
202,Prod 0102,Oficina,5870.00
203,Prod 0103,Gaming,320280.00
204,Prod 0104,Accesorios,2590.00
205,Prod 0105,Video,71770.00
206,Prod 0106,Computación,531070.00
207,Prod 0107,Audio,16930.00
208,Prod 0108,Computación,36550.00
209,Prod 0109,Video,32150.00
210,Prod 0110,Video,18850.00
211,Prod 0111,Smart Home,12870.00
212,Prod 0112,Gaming,104950.00
213,Prod 0113,Gaming,170130.00
214,Prod 0114,Gaming,23090.00
215,Prod 0115,Video,78370.00
216,Prod 0116,Audio,4970.00
217,Prod 0117,Oficina,74820.00
218,Prod 0118,Oficina,33130.00
